City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
67,Tuktoyaktuk,69.45,-133.04,-27.4,74,75,5.82,CA,2020-03-01 18:16:44,broken clouds,0.0,0.0
68,Bredasdorp,-34.53,20.04,70.0,77,40,8.05,ZA,2020-03-01 18:16:44,scattered clouds,0.0,0.0
69,Ushuaia,-54.8,-68.3,55.4,54,40,17.22,AR,2020-03-01 18:16:44,scattered clouds,0.0,0.0
70,Nanortalik,60.14,-45.24,20.77,57,0,34.25,GL,2020-03-01 18:16:44,clear sky,0.0,0.0
71,Kununurra,-15.77,128.73,78.8,94,90,9.17,AU,2020-03-01 18:13:33,overcast clouds,0.0,0.0
72,Kapaa,22.08,-159.32,69.8,83,75,18.34,US,2020-03-01 18:16:45,heavy intensity rain,0.0,0.0
73,Richards Bay,-28.78,32.04,74.23,68,33,18.59,ZA,2020-03-01 18:16:45,scattered clouds,0.0,0.0
74,Gulf Gate Estates,27.25,-82.51,73.0,26,1,10.29,US,2020-03-01 18:16:45,clear sky,0.0,0.0
75,Saint-Augustin,51.23,-58.65,18.37,89,40,12.12,CA,2020-03-01 18:16:45,scattered clouds,0.0,0.0
76,Riachao,-7.36,-46.62,89.13,55,15,2.95,BR,2020-03-01 18:16:45,light rain,0.25,0.0
77,Shellbrook,53.22,-106.4,10.4,72,20,13.87,CA,2020-03-01 18:16:45,few clouds,0.0,0.0
78,Divo,5.84,-5.36,91.33,45,8,6.24,CI,2020-03-01 18:16:46,clear sky,0.0,0.0
79,Tiksi,71.69,128.87,-6.54,88,0,11.48,RU,2020-03-01 18:16:46,clear sky,0.0,0.0
80,Denpasar,-8.65,115.22,78.8,100,20,5.82,ID,2020-03-01 18:15:29,few clouds,0.0,0.0
81,Kavieng,-2.57,150.8,83.7,72,43,1.41,PG,2020-03-01 18:16:46,moderate rain,4.31,0.0
82,Mandera,3.94,41.87,84.0,15,56,1.01,KE,2020-03-01 18:12:01,broken clouds,0.0,0.0
83,Esperance,-33.87,121.9,60.8,67,90,8.05,AU,2020-03-01 18:13:33,overcast clouds,0.0,0.0
84,Port Elizabeth,-33.92,25.57,71.6,73,0,20.8,ZA,2020-03-01 18:15:03,clear sky,0.0,0.0
85,Painesville,41.72,-81.25,44.01,32,40,6.93,US,2020-03-01 18:16:48,scattered clouds,0.0,0.0
86,Smila,49.22,31.89,40.86,63,99,18.52,UA,2020-03-01 18:16:48,overcast clouds,0.0,0.0
87,Talnakh,69.49,88.4,17.6,92,90,46.98,RU,2020-03-01 18:16:48,overcast clouds,0.0,0.0
88,Komsomolskiy,40.43,71.72,50.0,81,0,4.7,UZ,2020-03-01 18:16:49,mist,0.0,0.0
89,Castro,-24.79,-50.01,71.35,83,19,3.6,BR,2020-03-01 18:16:49,light rain,2.38,0.0
90,Qaanaaq,77.48,-69.36,-23.75,61,31,7.27,GL,2020-03-01 18:16:49,scattered clouds,0.0,0.0
