City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
414,Bengkulu,ID,73.06,light rain,-3.8,102.27,Grage Hotel Bengkulu
418,Cavalcante,BR,73.06,light rain,-13.8,-47.46,Pousada Vila dos Ipês
422,Maningrida,AU,84.16,light rain,-12.07,134.27,Dhukurrdji Lodge
424,Tambilil,PH,78.28,light rain,5.96,124.67,Wilfredo Sotto Home
447,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
451,Kokopo,PG,84.13,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
457,Coari,BR,83.5,moderate rain,-4.08,-63.14,HOTEL ALEX FLAT
463,Amahai,ID,83.43,light rain,-3.33,128.92,Hotel isabella
497,Kisangani,CD,76.21,light rain,0.52,25.2,Grand Ramela Hotel
555,Pauini,BR,79.16,light rain,-7.71,-66.98,Casa do Kiwliks
558,Mweka,CD,77.0,light rain,-4.85,21.57,
567,Ambilobe,MG,77.05,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
579,Boca Do Acre,BR,75.06,light rain,-8.75,-67.4,Hotel Linhares
592,Mananjary,MG,77.07,light rain,-21.22,48.33,Vahiny Lodge
2,Siwana,IN,72.95,clear sky,25.63,72.42,Krishna Tent House Siwana
4,Dingle,PH,72.41,clear sky,11.0,122.67,Camp Pasica
8,Ancud,CL,73.4,clear sky,-41.87,-73.82,HOTEL ANCUD DON LUCAS
10,Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
11,Morondava,MG,78.19,few clouds,-20.28,44.28,La Case Bambou
12,Santa Cruz Del Sur,CU,75.88,clear sky,20.71,-78.0,
21,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Atuona,PF,82.0,scattered clouds,-9.8,-139.03,Villa Enata
25,Puerto Ayora,EC,87.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
27,Gamba,GA,80.11,scattered clouds,-2.65,10.0,
29,Lima,PE,80.6,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
32,Cape Town,ZA,72.0,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
34,Luis Correia,BR,87.8,scattered clouds,-2.88,-41.67,Hotel Amarração
38,Kuala Terengganu,MY,74.68,broken clouds,5.33,103.14,Hotel Grand Continental
39,Tiarei,PF,78.01,heavy intensity rain,-17.53,-149.33,Le Rocher de Tahiti
40,Puerto Escondido,MX,86.0,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
42,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
44,Samarai,PG,76.75,overcast clouds,-10.62,150.67,Nuli Sapi
46,Providencia,MX,75.99,broken clouds,28.72,-111.58,
48,Rameswaram,IN,80.29,overcast clouds,9.28,79.3,Daiwik Hotels Rameswaram
52,East London,ZA,71.6,clear sky,-33.02,27.91,Tu Casa
59,Caravelas,BR,82.24,broken clouds,-17.71,-39.25,Pousada dos Navegantes
60,Souillac,MU,80.6,scattered clouds,-20.52,57.52,Bils' Villa
63,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
65,Tondano,ID,77.0,scattered clouds,1.3,124.91,Villa Bella
68,Bredasdorp,ZA,70.0,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
71,Kununurra,AU,78.8,overcast clouds,-15.77,128.73,Hotel Kununurra
73,Richards Bay,ZA,74.23,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
74,Gulf Gate Estates,US,73.0,clear sky,27.25,-82.51,Best Western Plus Siesta Key Gateway
80,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
82,Mandera,KE,84.0,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
84,Port Elizabeth,ZA,71.6,clear sky,-33.92,25.57,39 On Nile Guest House
93,Necochea,AR,82.94,clear sky,-38.55,-58.74,dyd -mar Hotel
94,Mount Isa,AU,80.6,overcast clouds,-20.73,139.5,ibis Styles Mount Isa Verona
95,Saint-Pierre,RE,80.6,scattered clouds,-21.34,55.48,Lindsey Hôtel
96,Kirakira,SB,78.58,few clouds,-10.45,161.92,SanBiz Lodge
100,Meulaboh,ID,85.5,broken clouds,4.14,96.13,Kost Pria
104,Mar Del Plata,AR,80.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
109,Saint-Philippe,RE,80.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
110,Geraldton,AU,77.0,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
111,Durant,US,70.0,overcast clouds,33.99,-96.37,Holiday Inn Express & Suites Durant
112,Luderitz,,71.6,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
115,Witu,KE,82.33,broken clouds,-2.39,40.44,
116,Carnarvon,AU,78.8,clear sky,-24.87,113.63,Hospitality Carnarvon
117,New Smyrna Beach,US,72.0,clear sky,29.03,-80.93,Hampton Inn New Smyrna Beach
125,Jambusar,IN,75.0,clear sky,22.05,72.8,Hotel Imeprial
126,Huarmey,PE,82.67,broken clouds,-10.07,-78.15,Hotel Miramar
128,Tual,ID,82.36,broken clouds,-5.67,132.75,Grand Vilia Hotel
129,Mahebourg,MU,80.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
132,Eyl,SO,77.49,clear sky,7.98,49.82,Amiin Hotel
134,Hermanus,ZA,72.0,scattered clouds,-34.42,19.23,Misty Waves Boutique Hotel
135,Cidreira,BR,74.52,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
136,Port Alfred,ZA,72.12,clear sky,-33.59,26.89,The Halyards Hotel
143,Campos Do Jordao,BR,77.0,broken clouds,-22.74,-45.59,Canada Lodge Inn
149,Yulara,AU,73.4,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
157,Chuy,UY,83.43,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
160,Labuhan,ID,75.16,overcast clouds,-6.88,112.21,bador sepret
161,Malindi,KE,86.0,scattered clouds,-3.22,40.12,African House Resort
164,Rawson,AR,70.36,few clouds,-43.3,-65.1,Hotel Punta León
165,Mundo Nuevo,MX,77.36,clear sky,18.7,-95.5,
173,Cabo San Lucas,MX,82.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
175,Illapel,CL,78.76,clear sky,-31.63,-71.17,Hotel Londres
189,Ndele,CF,87.26,broken clouds,8.41,20.65,
198,Bambous Virieux,MU,80.6,scattered clouds,-20.34,57.76,Casa Tia Villa
199,Flinders,AU,72.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
202,Sechura,PE,75.58,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
203,Sangueya,GN,84.31,broken clouds,10.7,-14.37,
206,Isangel,VU,78.57,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
209,San Patricio,MX,82.4,clear sky,19.22,-104.7,Hotel Cabo Blanco
214,Hithadhoo,MV,83.07,scattered clouds,-0.6,73.08,Scoop Guest House
219,Biak,ID,83.73,broken clouds,-0.91,122.88,Kost Ariz
221,Byron Bay,AU,72.0,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
223,Chimbote,PE,80.96,overcast clouds,-9.09,-78.58,Hotel Briliá
225,Najran,SA,82.4,clear sky,17.49,44.13,محمد هادي ال فطيح
236,Namibe,AO,75.38,clear sky,-15.2,12.15,Chik-Chik Namibe
241,Kavaratti,IN,83.79,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
245,Cairns,AU,78.8,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
